name|Aces|Ace %|Aces per Svc. Game|Aces per Set|Aces per Match|Double Faults|Double Fault %|DFs per 2nd Serve %|DFs per Svc. Game|DFs per Set|DFs per Match|Aces / DFs Ratio|Ace Against|Ace Against %|Double Faults Against|Double Fault Against %
Carlos Alcaraz Garfia|269|3.7|0.24|1.14|2.9|220|3.0|8.5|0.19|0.93|2.4|1.22|331|4.3|269|3.5
Rafael Nadal|3917|4.3|0.26|1.24|3.2|2080|2.3|7.2|0.14|0.66|1.7|1.88|7050|7.3|3293|3.4
Casper Ruud|1046|6.3|0.39|1.92|4.6|489|3.0|8.5|0.18|0.90|2.2|2.14|1262|7.7|625|3.8
Stefanos Tsitsipas|2431|8.9|0.55|2.74|7.1|760|2.8|7.4|0.17|0.86|2.2|3.20|1737|6.3|940|3.4
Novak Djokovic|6561|7.2|0.44|2.12|5.5|2710|3.0|8.5|0.18|0.87|2.3|2.42|6158|6.4|3388|3.5
Felix Auger Aliassime|2277|12.1|0.76|3.75|9.3|987|5.3|14.6|0.33|1.63|4.0|2.31|1063|5.5|645|3.4
Daniil Medvedev|3044|11.0|0.69|3.28|8.4|1245|4.5|11.5|0.28|1.34|3.4|2.44|1575|5.5|1001|3.5
Andrey Rublev|2220|8.6|0.54|2.61|6.6|904|3.5|8.9|0.22|1.06|2.7|2.46|2547|9.4|1150|4.3
Taylor Harry Fritz|2842|11.5|0.73|3.61|9.4|774|3.1|7.6|0.20|0.98|2.6|3.67|2195|8.9|1038|4.2
Hubert Hurkacz|2049|11.9|0.75|3.79|9.8|540|3.1|8.5|0.20|1.00|2.6|3.79|1233|7.2|651|3.8
Holger Vitus Nodskov Rune|295|5.7|0.36|1.76|4.2|228|4.4|12.3|0.28|1.36|3.2|1.29|328|6.2|194|3.6
Alexander Zverev|3981|10.7|0.66|3.20|8.5|1972|5.3|15.1|0.33|1.58|4.2|2.02|2182|5.6|1339|3.4
Pablo Carreno Busta|1866|5.1|0.33|1.57|4.0|838|2.3|6.6|0.15|0.71|1.8|2.23|3179|8.6|1440|3.9
Cameron Norrie|1141|6.0|0.38|1.85|4.6|740|3.9|11.3|0.25|1.20|3.0|1.54|1524|8.0|684|3.6
Jannik Sinner|730|5.9|0.38|1.86|4.6|335|2.7|6.7|0.18|0.85|2.1|2.18|772|6.2|446|3.6
Matteo Berrettini|2083|12.2|0.75|3.73|10.0|419|2.5|6.6|0.15|0.75|2.0|4.97|1044|5.9|638|3.6
Marin Cilic|8064|11.5|0.72|3.53|9.3|2593|3.7|8.6|0.23|1.14|3.0|3.11|5177|7.1|2511|3.5
Denis Shapovalov|2383|10.1|0.63|3.15|8.2|1528|6.5|15.9|0.40|2.02|5.3|1.56|1172|4.9|937|3.9
Frances Tiafoe|1783|8.1|0.52|2.59|7.0|651|3.0|7.7|0.19|0.95|2.6|2.74|2434|11.2|818|3.8
Karen Khachanov|2736|9.4|0.60|2.96|7.9|961|3.3|8.8|0.21|1.04|2.8|2.85|2063|7.0|1039|3.5
Roger Federer|11452|10.0|0.61|2.97|7.8|2756|2.4|6.4|0.15|0.71|1.9|4.16|7143|5.9|4331|3.5
Jimmy Connors|140|2.1|0.14|0.67|1.8|196|3.0|8.5|0.20|0.94|2.5|0.71|530|8.2|259|4.0
Ivan Lendl|1701|8.8|0.56|2.68|6.9|656|3.4|7.8|0.22|1.03|2.7|2.59|1267|6.2|784|3.9
Pete Sampras|8689|13.1|0.83|4.11|11.0|2940|4.4|10.9|0.28|1.39|3.7|2.96|5858|8.6|2803|4.1
John McEnroe|514|6.8|0.44|2.08|5.4|384|5.1|11.7|0.33|1.55|4.0|1.34|503|6.5|306|4.0
Bjorn Borg|45|5.7|0.36|1.67|3.8|50|6.3|14.3|0.40|1.85|4.2|0.90|52|6.6|34|4.3
Andre Agassi|4055|6.2|0.39|1.82|4.8|2089|3.2|8.5|0.20|0.94|2.5|1.94|6798|9.7|3153|4.5
Boris Becker|4362|12.2|0.80|3.92|10.4|2014|5.6|13.2|0.37|1.81|4.8|2.17|2509|6.8|1394|3.8
Stefan Edberg|1405|4.0|0.26|1.23|3.2|1630|4.6|12.0|0.30|1.42|3.7|0.86|2068|5.6|1408|3.8
Andy Murray|6280|8.7|0.55|2.59|6.9|2336|3.2|7.7|0.20|0.96|2.6|2.69|4580|6.1|2758|3.7
Mats Wilander|363|3.7|0.24|1.15|3.0|276|2.8|8.0|0.18|0.87|2.3|1.32|556|5.6|351|3.5
Lleyton Hewitt|5100|7.7|0.49|2.32|6.2|2953|4.5|9.7|0.28|1.34|3.6|1.73|5733|8.3|2793|4.1
