name|Total Games Played|Total Games Won|Games Won %|Games per Set|Games per Match|Tie-Breaks Played|Tie-Breaks Won|Tie-Breaks Won %|Tie-Breaks per Set %|Tie-Breaks per Match
Carlos Alcaraz Garfia|2962|1642|55.4|9.68|26.2|59|34|57.6|19.3|0.52
Rafael Nadal|30761|18394|59.8|9.33|24.0|429|262|61.1|13.0|0.33
Casper Ruud|5925|3196|53.9|9.60|24.1|94|48|51.1|15.2|0.38
Stefanos Tsitsipas|9172|4946|53.9|9.88|25.7|187|109|58.3|20.2|0.52
Novak Djokovic|30744|18243|59.3|9.42|24.9|450|294|65.3|13.8|0.36
Felix Auger Aliassime|6248|3251|52.0|9.82|24.6|137|84|61.3|21.5|0.54
Daniil Medvedev|9227|5095|55.2|9.52|24.4|139|81|58.3|14.3|0.37
Andrey Rublev|8812|4696|53.3|9.68|24.7|151|74|49.0|16.6|0.42
Taylor Harry Fritz|8061|4125|51.2|9.83|26.0|178|97|54.5|21.7|0.57
Hubert Hurkacz|5694|2960|52.0|9.95|26.0|132|64|48.5|23.1|0.60
Holger Vitus Nodskov Rune|2043|1063|52.0|9.82|24.0|37|20|54.1|17.8|0.44
Alexander Zverev|12361|6658|53.9|9.69|25.8|210|128|61.0|16.5|0.44
Pablo Carreno Busta|11764|6076|51.6|9.63|24.8|214|114|53.3|17.5|0.45
Cameron Norrie|6352|3319|52.3|9.60|24.5|93|43|46.2|14.0|0.36
Jannik Sinner|4382|2363|53.9|9.69|24.9|77|44|57.1|17.0|0.44
Matteo Berrettini|5752|3038|52.8|9.90|26.9|124|71|57.3|21.3|0.58
Marin Cilic|23580|12615|53.5|9.73|26.1|437|232|53.1|18.0|0.48
Denis Shapovalov|7782|4019|51.6|9.95|26.4|152|75|49.3|19.4|0.52
Frances Tiafoe|7302|3618|49.5|9.93|27.1|166|90|54.2|22.6|0.62
Karen Khachanov|9686|4987|51.5|9.83|26.5|210|103|49.0|21.3|0.57
Roger Federer|39053|22678|58.1|9.67|25.7|709|463|65.3|17.5|0.47
Jimmy Connors|36702|21906|59.7|9.33|23.5|388|227|58.5|9.9|0.25
Ivan Lendl|31828|18940|59.5|9.31|24.3|397|240|60.5|11.6|0.30
Pete Sampras|26020|14608|56.1|9.79|26.4|522|328|62.8|19.6|0.53
John McEnroe|25987|15467|59.5|9.38|24.1|308|189|61.4|11.1|0.29
Bjorn Borg|19132|11494|60.1|9.18|24.3|179|98|54.7|8.6|0.23
Andre Agassi|28133|16231|57.7|9.34|24.6|366|206|56.3|12.2|0.32
Rod Laver|18676|10840|58.0|9.76|26.1|124|70|56.5|6.5|0.17
Boris Becker|24307|13695|56.3|9.73|26.2|404|241|59.7|16.2|0.44
Stefan Edberg|27234|15418|56.6|9.57|25.3|416|249|59.9|14.6|0.39
Andy Murray|24002|13561|56.5|9.46|25.3|361|219|60.7|14.2|0.38
Mats Wilander|19964|11193|56.1|9.42|25.2|221|125|56.6|10.4|0.28
Guillermo Vilas|28895|16750|58.0|9.18|23.4|278|158|56.8|8.8|0.23
Ilie Nastase|31146|17611|56.5|9.48|25.4|257|153|59.5|7.8|0.21
Ken Rosewall|18131|10353|57.1|9.51|24.7|133|79|59.4|7.0|0.18
Arthur Ashe|26725|14938|55.9|9.79|25.7|268|172|64.2|9.8|0.26
John Newcombe|24451|13357|54.6|11.81|31.0|213|131|61.5|10.3|0.27
Lleyton Hewitt|22867|12620|55.2|9.50|26.0|329|172|52.3|13.7|0.37
