name|Opponent Rank|Opponent Elo Rating|Upsets scored|Upsets scored %|Upsets against|Upsets against %|Upsets|Upsets %|Point Time (seconds)|Game Time (minutes)|Set Time (minutes)|Match Time
Carlos Alcaraz Garfia|31|1970|28|24.8|13|11.5|41|36.3|45.7|4.96|47.9|2.03
Rafael Nadal|27|2020|61|4.8|166|13.0|227|17.7|45.7|4.82|45.0|1.9
Casper Ruud|43|1924|35|14.3|39|15.9|74|30.2|43.2|4.52|43.4|1.75
Stefanos Tsitsipas|29|1993|35|9.8|73|20.5|108|30.3|42.9|4.47|44.3|1.9
Novak Djokovic|24|2039|66|5.4|149|12.1|215|17.4|42.4|4.53|42.7|1.85
Felix Auger Aliassime|38|1950|32|12.6|55|21.7|87|34.4|45.6|4.83|47.5|1.95
Daniil Medvedev|33|1983|47|12.4|64|16.9|111|29.4|40.9|4.32|41.2|1.75
Andrey Rublev|37|1957|64|17.9|59|16.5|123|34.5|38.7|4.14|40.1|1.67
Taylor Harry Fritz|43|1929|61|19.8|64|20.8|125|40.6|39.0|4.15|40.8|1.77
Hubert Hurkacz|39|1947|35|16.0|49|22.4|84|38.4|40.7|4.33|43.2|1.85
Holger Vitus Nodskov Rune|43|1914|27|32.9|11|13.4|38|46.3|43.8|4.60|45.4|1.78
Alexander Zverev|32|1985|51|10.6|81|16.9|132|27.5|39.2|4.13|40.0|1.77
Pablo Carreno Busta|43|1932|60|12.6|103|21.7|163|34.3|39.5|4.22|40.7|1.72
Cameron Norrie|44|1923|50|19.4|47|18.2|97|37.6|42.4|4.53|43.5|1.82
Jannik Sinner|39|1950|26|14.8|22|12.5|48|27.3|44.2|4.79|46.5|1.9
Matteo Berrettini|39|1952|28|13.1|36|16.8|64|29.9|42.5|4.45|44.2|1.97
Marin Cilic|37|1966|82|9.1|168|18.6|250|27.6|40.4|4.30|42.0|1.83
Denis Shapovalov|38|1956|35|11.9|79|26.8|114|38.6|42.0|4.43|44.2|1.92
Frances Tiafoe|41|1941|59|21.9|55|20.4|114|42.4|40.4|4.32|42.7|1.92
Karen Khachanov|37|1958|51|14.0|74|20.4|125|34.4|41.4|4.43|43.7|1.92
Roger Federer|27|2017|77|5.1|195|12.8|272|17.9|37.0|3.90|37.8|1.65
Jimmy Connors|45|1975|53|3.8|155|11.1|208|14.9|42.9|4.76|44.8|1.95
Ivan Lendl|34|1991|61|4.7|167|13.0|228|17.7|39.4|4.29|40.9|1.75
Pete Sampras|32|1992|51|5.2|169|17.2|220|22.4|32.7|3.56|34.7|1.55
John McEnroe|32|2002|56|5.3|123|11.6|179|16.8|42.5|4.63|43.8|1.88
Bjorn Borg|40|1984|32|4.6|76|10.9|108|15.5|38.0|3.99|37.1|1.38
Andre Agassi|36|1971|100|8.8|195|17.1|295|25.8|33.6|3.66|34.3|1.48
Boris Becker|31|1993|94|10.2|146|15.8|240|25.9|35.3|3.88|38.2|1.68
Stefan Edberg|33|1987|67|6.3|185|17.3|252|23.5|33.9|3.73|35.5|1.53
Andy Murray|28|2013|103|10.9|109|11.5|212|22.4|42.2|4.54|43.0|1.9
Mats Wilander|42|1965|104|13.5|98|12.7|202|26.2|33.2|3.67|34.7|1.5
Guillermo Vilas|56|1937|51|4.6|178|15.9|229|20.4|41.7|4.76|46.0|2.3
Lleyton Hewitt|37|1957|122|13.9|130|14.8|252|28.7|40.8|4.39|41.9|1.87
