name|1st Srv. Return Won %|2nd Srv. Return Won %|Return Rating|Return Points Won %|Rtn. In-play Pts. Won %|Points per Return Game|Pts. Won per Rtn. Game|Break Points Won %|BPs per Return Game|BPs per Set|BPs per Match|Return Games Won %|Rtn. Gms. Won per Set|Rtn. Gms. Won per Match
Carlos Alcaraz Garfia|34.1|53.2|160|41.3|41.0|6.69|2.76|41.9|0.74|3.59|9.1|31.0|1.50|3.8
Rafael Nadal|34.2|55.2|168|42.3|43.6|6.57|2.78|44.9|0.74|3.45|8.8|33.3|1.55|3.9
Casper Ruud|28.8|50.7|143|37.1|37.6|6.33|2.35|40.4|0.58|2.75|6.7|23.4|1.11|2.7
Stefanos Tsitsipas|28.7|49.1|138|36.1|36.3|6.37|2.30|39.8|0.53|2.57|6.6|20.9|1.02|2.6
Novak Djokovic|33.8|55.2|165|42.2|42.9|6.66|2.81|44.4|0.72|3.36|8.8|32.1|1.49|3.9
Felix Auger Aliassime|30.0|48.0|136|36.6|36.4|6.48|2.37|37.6|0.55|2.66|6.6|20.5|1.00|2.5
Daniil Medvedev|30.6|53.6|153|39.3|39.3|6.44|2.53|42.5|0.62|2.97|7.6|26.4|1.26|3.2
Andrey Rublev|30.1|53.0|148|39.0|40.2|6.57|2.56|40.5|0.62|2.99|7.5|24.9|1.21|3.0
Taylor Harry Fritz|26.7|49.6|132|35.5|36.0|6.40|2.27|36.2|0.53|2.60|6.8|19.3|0.94|2.5
Hubert Hurkacz|27.3|48.4|131|35.3|35.4|6.44|2.28|37.1|0.50|2.49|6.4|18.6|0.92|2.4
Holger Vitus Nodskov Rune|29.2|51.9|146|37.5|37.5|6.37|2.39|42.5|0.53|2.66|6.3|22.7|1.13|2.7
Alexander Zverev|30.8|51.0|149|38.5|38.5|6.44|2.48|42.1|0.60|2.93|7.8|25.4|1.23|3.3
Pablo Carreno Busta|28.8|52.1|146|38.0|39.0|6.44|2.45|41.2|0.59|2.85|7.3|24.4|1.17|3.0
Cameron Norrie|30.5|51.0|149|38.3|39.3|6.42|2.46|42.6|0.58|2.79|7.0|24.7|1.19|3.0
Jannik Sinner|32.1|51.9|154|39.7|40.0|6.56|2.60|43.8|0.60|2.93|7.2|26.4|1.28|3.2
Matteo Berrettini|28.3|46.3|129|35.0|34.7|6.39|2.24|36.4|0.49|2.46|6.6|18.0|0.89|2.4
Marin Cilic|30.0|50.2|141|37.7|38.3|6.55|2.47|38.4|0.59|2.84|7.5|22.5|1.09|2.9
Denis Shapovalov|28.2|48.0|133|35.6|34.8|6.36|2.27|37.6|0.51|2.54|6.7|19.2|0.96|2.5
Frances Tiafoe|26.5|49.6|133|35.3|37.1|6.36|2.25|38.3|0.49|2.45|6.6|18.9|0.94|2.5
Karen Khachanov|28.3|49.9|139|36.6|37.0|6.51|2.38|39.9|0.52|2.54|6.8|20.7|1.02|2.7
Roger Federer|32.4|50.7|151|39.6|39.7|6.62|2.62|41.1|0.65|3.10|8.2|26.6|1.27|3.4
Jimmy Connors|32.2|53.0|157|40.6|41.7|6.63|2.69|41.9|0.70|3.29|8.7|29.4|1.38|3.6
Ivan Lendl|31.3|52.8|154|40.1|40.4|6.72|2.70|42.0|0.67|3.18|8.2|28.0|1.33|3.4
Pete Sampras|29.0|51.0|145|38.0|38.8|6.70|2.55|40.7|0.59|2.85|7.6|24.1|1.16|3.1
John McEnroe|31.9|50.8|152|39.4|39.6|6.67|2.63|41.8|0.65|3.03|7.9|27.1|1.27|3.3
Bjorn Borg|25.9|42.0|114|33.2|32.4|6.24|2.07|32.7|0.41|1.93|4.3|13.4|0.63|1.4
Andre Agassi|31.4|55.8|162|41.7|43.3|6.75|2.81|43.4|0.73|3.42|9.0|31.7|1.49|3.9
Boris Becker|28.9|51.4|144|38.1|38.4|6.70|2.55|39.8|0.59|2.91|7.8|23.6|1.16|3.1
Stefan Edberg|33.1|53.4|160|41.2|41.3|6.75|2.78|43.3|0.70|3.32|8.7|30.2|1.44|3.8
Andy Murray|33.0|54.8|162|41.5|41.9|6.62|2.75|43.2|0.71|3.35|8.9|30.7|1.45|3.8
Mats Wilander|29.6|51.8|149|38.9|38.9|6.61|2.57|42.4|0.60|2.83|7.4|25.4|1.20|3.1
Guillermo Vilas|26.5|58.0|134|40.0|41.2|7.32|2.93|28.6|0.75|3.50|10.5|21.4|1.00|3.0
Lleyton Hewitt|32.1|53.7|159|41.1|42.3|6.57|2.70|43.2|0.69|3.32|8.9|30.0|1.43|3.9
