name|1st Serve %|1st Serve Won %|2nd Serve Won %|1st Serve Effectiveness|Serve Rating|Service Points Won %|Svc. In-play Pts. Won %|Points per Service Game|Pts. Lost per Svc. Game|Break Points Saved %|BPs per Svc. Game|BPs Faced per Set|BPs Faced per Match|Service Games Won %|Svc. Gms. Lost per Set|Svc. Gms. Lost per Match
Carlos Alcaraz Garfia|64.3|69.4|53.5|1.30|328|63.7|64.3|6.37|2.31|61.3|0.55|2.62|6.7|78.7|1.02|2.6
Rafael Nadal|68.1|72.2|57.3|1.26|352|67.4|67.6|6.11|1.99|66.3|0.42|1.98|5.1|85.8|0.67|1.7
Casper Ruud|65.0|72.2|54.1|1.34|340|65.9|65.6|6.22|2.12|62.2|0.44|2.16|5.2|83.2|0.81|2.0
Stefanos Tsitsipas|62.1|76.2|54.7|1.39|350|68.0|67.0|6.15|1.96|64.3|0.39|1.95|5.0|86.1|0.70|1.8
Novak Djokovic|64.9|73.9|55.4|1.33|350|67.4|67.0|6.16|2.01|65.4|0.41|1.95|5.1|85.9|0.67|1.8
Felix Auger Aliassime|64.0|75.4|50.1|1.51|343|66.3|65.5|6.24|2.11|63.7|0.47|2.31|5.7|83.1|0.84|2.1
Daniil Medvedev|60.7|75.6|51.9|1.46|342|66.3|65.4|6.22|2.10|63.2|0.44|2.11|5.4|83.7|0.78|2.0
Andrey Rublev|60.3|74.8|50.7|1.48|336|65.2|64.4|6.25|2.18|62.7|0.48|2.34|5.9|82.0|0.87|2.2
Taylor Harry Fritz|59.1|75.3|51.1|1.47|339|65.4|63.2|6.36|2.20|62.3|0.46|2.30|6.0|82.5|0.87|2.3
Hubert Hurkacz|63.1|74.7|51.6|1.45|347|66.2|63.9|6.34|2.15|64.8|0.45|2.27|5.9|84.2|0.80|2.1
Holger Vitus Nodskov Rune|63.8|71.7|52.2|1.37|329|64.6|65.5|6.25|2.21|59.8|0.49|2.40|5.7|80.3|0.96|2.3
Alexander Zverev|64.9|74.4|49.7|1.50|337|65.7|65.5|6.19|2.12|60.3|0.45|2.17|5.8|82.2|0.86|2.3
Pablo Carreno Busta|65.2|69.3|52.4|1.32|330|63.4|63.0|6.37|2.33|61.4|0.54|2.62|6.7|79.0|1.01|2.6
Cameron Norrie|65.3|70.1|49.6|1.41|328|63.0|63.3|6.38|2.36|61.9|0.55|2.65|6.6|79.0|1.01|2.5
Jannik Sinner|59.6|71.6|52.5|1.36|330|63.9|63.5|6.44|2.33|63.0|0.53|2.57|6.3|80.4|0.95|2.3
Matteo Berrettini|62.9|78.1|53.2|1.47|360|68.8|66.4|6.14|1.91|68.5|0.39|1.93|5.2|87.8|0.61|1.6
Marin Cilic|56.8|76.9|52.3|1.47|342|66.3|64.6|6.24|2.10|64.0|0.45|2.21|5.8|83.8|0.80|2.1
Denis Shapovalov|59.5|76.0|51.7|1.47|341|66.1|67.2|6.28|2.13|66.2|0.47|2.35|6.2|84.0|0.80|2.1
Frances Tiafoe|61.3|71.3|51.7|1.38|331|63.7|62.6|6.46|2.34|61.5|0.52|2.58|7.0|79.9|0.99|2.7
Karen Khachanov|62.2|73.5|51.5|1.43|339|65.1|63.9|6.40|2.23|63.5|0.49|2.40|6.4|82.1|0.88|2.3
Roger Federer|62.1|77.4|57.0|1.36|360|69.7|68.1|6.05|1.83|67.3|0.34|1.67|4.4|88.8|0.55|1.4
Jimmy Connors|65.1|62.8|50.1|1.25|305|58.4|59.3|6.67|2.78|57.8|0.71|3.34|8.8|70.3|1.41|3.7
Ivan Lendl|56.0|76.0|52.2|1.46|335|65.5|64.6|6.36|2.19|62.5|0.47|2.23|5.8|82.4|0.84|2.2
Pete Sampras|59.5|80.9|52.6|1.54|358|69.4|68.3|6.38|1.95|67.9|0.35|1.73|4.6|88.8|0.55|1.5
John McEnroe|56.5|75.5|50.1|1.51|328|64.4|65.4|6.40|2.27|62.4|0.49|2.36|6.1|81.4|0.89|2.3
Bjorn Borg|55.8|65.9|39.0|1.69|269|54.0|54.9|6.36|2.93|50.0|0.82|3.78|8.5|58.9|1.89|4.3
Andre Agassi|62.6|72.9|54.0|1.35|341|65.8|65.8|6.30|2.15|64.7|0.45|2.12|5.6|84.0|0.75|2.0
Boris Becker|57.4|79.4|50.2|1.58|345|66.9|66.6|6.52|2.16|65.7|0.41|2.03|5.4|85.8|0.70|1.9
Stefan Edberg|61.5|73.1|51.8|1.41|332|64.9|66.6|6.45|2.27|63.8|0.48|2.29|6.0|82.6|0.83|2.2
Andy Murray|58.1|74.4|51.7|1.44|334|64.9|63.8|6.29|2.21|62.2|0.48|2.30|6.1|81.7|0.87|2.3
Mats Wilander|65.2|66.6|46.4|1.44|308|59.5|59.7|6.64|2.69|58.0|0.69|3.23|8.4|71.2|1.36|3.5
Guillermo Vilas|70.3|60.0|50.9|1.18|286|57.3|58.8|6.40|2.73|41.2|0.57|2.83|8.5|66.7|1.67|5.0
Lleyton Hewitt|53.9|73.7|52.7|1.40|326|64.0|64.1|6.35|2.29|61.9|0.52|2.46|6.6|80.2|0.94|2.5
