name|Sets Played|Sets Won|Sets Won %|Sets per Match|Matches Played|Matches Won|Matches Won %
Carlos Alcaraz Garfia|306|203|66.3|2.71|113|83|73.5
Rafael Nadal|3297|2553|77.4|2.57|1281|1065|83.1
Casper Ruud|617|368|59.6|2.51|246|158|64.2
Stefanos Tsitsipas|928|579|62.4|2.60|357|239|66.9
Novak Djokovic|3265|2495|76.4|2.65|1234|1030|83.5
Felix Auger Aliassime|636|367|57.7|2.50|254|154|60.6
Daniil Medvedev|969|641|66.2|2.56|378|263|69.6
Andrey Rublev|910|543|59.7|2.55|357|229|64.1
Taylor Harry Fritz|820|440|53.7|2.65|310|171|55.2
Hubert Hurkacz|572|316|55.2|2.61|219|124|56.6
Holger Vitus Nodskov Rune|208|117|56.3|2.45|85|49|57.6
Alexander Zverev|1275|819|64.2|2.66|480|331|69.0
Pablo Carreno Busta|1222|679|55.6|2.57|475|267|56.2
Cameron Norrie|662|369|55.7|2.56|259|151|58.3
Jannik Sinner|452|287|63.5|2.57|176|119|67.6
Matteo Berrettini|581|356|61.3|2.71|214|139|65.0
Marin Cilic|2423|1466|60.5|2.68|905|579|64.0
Denis Shapovalov|782|421|53.8|2.65|295|166|56.3
Frances Tiafoe|735|373|50.7|2.73|269|133|49.4
Karen Khachanov|985|540|54.8|2.69|366|207|56.6
Roger Federer|4040|3064|75.8|2.66|1520|1245|81.9
Jimmy Connors|3935|2974|75.6|2.52|1560|1275|81.7
Ivan Lendl|3419|2570|75.2|2.61|1311|1069|81.5
Pete Sampras|2658|1882|70.8|2.70|984|762|77.4
John McEnroe|2771|2092|75.5|2.57|1079|881|81.6
Bjorn Borg|2083|1569|75.3|2.64|788|650|82.5
Andre Agassi|3011|2139|71.0|2.63|1144|870|76.0
Rod Laver|1914|1385|72.4|2.67|716|571|79.7
Boris Becker|2497|1760|70.5|2.69|927|713|76.9
Stefan Edberg|2846|1971|69.3|2.65|1075|804|74.8
Andy Murray|2536|1752|69.1|2.68|948|716|75.5
Mats Wilander|2119|1411|66.6|2.68|792|569|71.8
Guillermo Vilas|3146|2224|70.7|2.55|1234|943|76.4
Ilie Nastase|3285|2215|67.4|2.68|1224|891|72.8
Ken Rosewall|1907|1314|68.9|2.60|733|540|73.7
Arthur Ashe|2730|1870|68.5|2.62|1041|783|75.2
John Newcombe|2071|1380|66.6|2.63|788|564|71.6
Lleyton Hewitt|2406|1547|64.3|2.74|878|616|70.2
