name|Aces|Ace %|Aces per Svc. Game|Aces per Set|Aces per Match|Double Faults|Double Fault %|DFs per 2nd Serve %|DFs per Svc. Game|DFs per Set|DFs per Match|Aces / DFs Ratio|Ace Against|Ace Against %|Double Faults Against|Double Fault Against %
Carlos Alcaraz Garfia|269|3.7|0.24|1.14|2.9|220|3.0|8.5|0.19|0.93|2.4|1.22|331|4.3|269|3.5
Rafael Nadal|3917|4.3|0.26|1.24|3.2|2080|2.3|7.2|0.14|0.66|1.7|1.88|7050|7.3|3293|3.4
Casper Ruud|1046|6.3|0.39|1.92|4.6|489|3.0|8.5|0.18|0.90|2.2|2.14|1262|7.7|625|3.8
Stefanos Tsitsipas|2431|8.9|0.55|2.74|7.1|760|2.8|7.4|0.17|0.86|2.2|3.20|1737|6.3|940|3.4
Novak Djokovic|6561|7.2|0.44|2.12|5.5|2710|3.0|8.5|0.18|0.87|2.3|2.42|6158|6.4|3388|3.5
Felix Auger Aliassime|2277|12.1|0.76|3.75|9.3|987|5.3|14.6|0.33|1.63|4.0|2.31|1063|5.5|645|3.4
Daniil Medvedev|3044|11.0|0.69|3.28|8.4|1245|4.5|11.5|0.28|1.34|3.4|2.44|1575|5.5|1001|3.5
Andrey Rublev|2220|8.6|0.54|2.61|6.6|904|3.5|8.9|0.22|1.06|2.7|2.46|2547|9.4|1150|4.3
Taylor Harry Fritz|2842|11.5|0.73|3.61|9.4|774|3.1|7.6|0.20|0.98|2.6|3.67|2195|8.9|1038|4.2
Hubert Hurkacz|2049|11.9|0.75|3.79|9.8|540|3.1|8.5|0.20|1.00|2.6|3.79|1233|7.2|651|3.8
Holger Vitus Nodskov Rune|295|5.7|0.36|1.76|4.2|228|4.4|12.3|0.28|1.36|3.2|1.29|328|6.2|194|3.6
Alexander Zverev|3981|10.7|0.66|3.20|8.5|1972|5.3|15.1|0.33|1.58|4.2|2.02|2182|5.6|1339|3.4
Pablo Carreno Busta|1866|5.1|0.33|1.57|4.0|838|2.3|6.6|0.15|0.71|1.8|2.23|3179|8.6|1440|3.9
