name|Total Games Played|Total Games Won|Games Won %|Games per Set|Games per Match|Tie-Breaks Played|Tie-Breaks Won|Tie-Breaks Won %|Tie-Breaks per Set %|Tie-Breaks per Match
Carlos Alcaraz Garfia|2962|1642|55.4|9.68|26.2|59|34|57.6|19.3|0.52
Rafael Nadal|30761|18394|59.8|9.33|24.0|429|262|61.1|13.0|0.33
Casper Ruud|5925|3196|53.9|9.60|24.1|94|48|51.1|15.2|0.38
Stefanos Tsitsipas|9172|4946|53.9|9.88|25.7|187|109|58.3|20.2|0.52
Novak Djokovic|30744|18243|59.3|9.42|24.9|450|294|65.3|13.8|0.36
Felix Auger Aliassime|6248|3251|52.0|9.82|24.6|137|84|61.3|21.5|0.54
Daniil Medvedev|9227|5095|55.2|9.52|24.4|139|81|58.3|14.3|0.37
Andrey Rublev|8812|4696|53.3|9.68|24.7|151|74|49.0|16.6|0.42
Taylor Harry Fritz|8061|4125|51.2|9.83|26.0|178|97|54.5|21.7|0.57
Hubert Hurkacz|5694|2960|52.0|9.95|26.0|132|64|48.5|23.1|0.60
Holger Vitus Nodskov Rune|2043|1063|52.0|9.82|24.0|37|20|54.1|17.8|0.44
Alexander Zverev|12361|6658|53.9|9.69|25.8|210|128|61.0|16.5|0.44
Pablo Carreno Busta|11764|6076|51.6|9.63|24.8|214|114|53.3|17.5|0.45
Cameron Norrie|6352|3319|52.3|9.60|24.5|93|43|46.2|14.0|0.36
Jannik Sinner|4382|2363|53.9|9.69|24.9|77|44|57.1|17.0|0.44
Matteo Berrettini|5752|3038|52.8|9.90|26.9|124|71|57.3|21.3|0.58
Marin Cilic|23580|12615|53.5|9.73|26.1|437|232|53.1|18.0|0.48
Denis Shapovalov|7782|4019|51.6|9.95|26.4|152|75|49.3|19.4|0.52
Frances Tiafoe|7302|3618|49.5|9.93|27.1|166|90|54.2|22.6|0.62
Karen Khachanov|9686|4987|51.5|9.83|26.5|210|103|49.0|21.3|0.57
Roberto Bautista Agut|14707|7896|53.7|9.61|24.8|241|123|51.0|15.7|0.41
Nick Kyrgios|8499|4483|52.7|10.08|27.2|225|133|59.1|26.7|0.72
Lorenzo Musetti|2528|1265|50.0|9.65|24.3|44|27|61.4|16.8|0.42
Alex De Minaur|6165|3172|51.5|9.62|25.1|115|63|54.8|17.9|0.47
Diego Sebastian Schwartzman|10353|5389|52.1|9.41|24.5|137|64|46.7|12.5|0.32
Borna Coric|8520|4314|50.6|9.75|25.4|156|84|53.8|17.8|0.47
Daniel Evans|6828|3417|50.0|9.66|26.5|123|63|51.2|17.4|0.48
Grigor Dimitrov|15804|8314|52.6|9.80|25.4|303|155|51.2|18.8|0.49
Miomir Kecmanovic|4218|2120|50.3|9.67|24.2|80|38|47.5|18.3|0.46
Francisco Cerundolo|1394|696|49.9|9.61|24.0|20|9|45.0|13.8|0.34
Alejandro Davidovich Fokina|3399|1684|49.5|9.66|26.1|59|27|45.8|16.8|0.45
Tommy Paul|4109|2083|50.7|9.74|25.1|72|32|44.4|17.1|0.44
Sebastian Korda|2629|1387|52.8|9.67|24.8|40|19|47.5|14.7|0.38
Maxime Cressy|1851|941|50.8|10.28|27.6|60|25|41.7|33.3|0.90
Botic Van De Zandschulp|2257|1147|50.8|9.69|25.6|39|25|64.1|16.7|0.44
Yoshihito Nishioka|4928|2342|47.5|9.39|24.2|67|38|56.7|12.8|0.33
Alexander Bublik|4844|2389|49.3|9.85|24.8|89|45|50.6|18.1|0.46
Reilly Opelka|4625|2326|50.3|10.46|26.9|163|82|50.3|36.9|0.95
Albert Ramos|13740|6794|49.4|9.68|24.5|242|99|40.9|17.1|0.43
Emil Ruusuvuori|3028|1529|50.5|9.43|23.7|40|23|57.5|12.5|0.31
John Isner|22298|11412|51.2|10.61|28.7|801|490|61.2|38.1|1.03
Jack Draper|775|405|52.3|9.81|22.8|15|9|60.0|19.0|0.44
Sebastian Baez|1285|639|49.7|9.45|23.8|17|5|29.4|12.5|0.31
Arthur Rinderknech|1952|973|49.8|9.81|25.7|38|17|44.7|19.1|0.50
Lorenzo Sonego|4771|2397|50.2|9.88|25.5|105|57|54.3|21.7|0.56
Adrian Mannarino|12871|6277|48.8|9.56|24.2|225|102|45.3|16.7|0.42
Brandon Nakashima|2115|1092|51.6|9.93|25.5|52|34|65.4|24.4|0.63
Jenson Brooksby|1651|848|51.4|9.22|23.3|19|11|57.9|10.6|0.27
Andy Murray|24002|13561|56.5|9.46|25.3|361|219|60.7|14.2|0.38
Alex Molcan|1394|702|50.4|9.55|24.9|24|14|58.3|16.4|0.43
Corentin Moutet|2650|1243|46.9|9.81|26.8|45|25|55.6|16.7|0.45
Gael Monfils|20878|11067|53.0|9.69|25.2|364|210|57.7|16.9|0.44
David Goffin|13396|7025|52.4|9.56|25.0|209|102|48.8|14.9|0.39
Filip Krajinovic|5770|2888|50.1|9.63|24.1|93|40|43.0|15.5|0.39
Fabio Fognini|18953|9381|49.5|9.50|24.8|277|153|55.2|13.9|0.36
Marc Andrea Huesler|909|450|49.5|9.99|26.0|22|11|50.0|24.2|0.63
Jaume Munar|3679|1779|48.4|9.73|24.9|73|36|49.3|19.3|0.49
Aslan Karatsev|2859|1438|50.3|9.56|25.3|41|17|41.5|13.7|0.36
Benjamin Bonzi|1481|745|50.3|9.87|25.5|27|10|37.0|18.0|0.47
Marcos Giron|3019|1434|47.5|9.90|25.8|64|31|48.4|21.0|0.55
Pedro Martinez Portero|2500|1224|49.0|9.62|24.5|38|17|44.7|14.6|0.37
Mackenzie Mcdonald|3953|1934|48.9|9.62|26.2|60|32|53.3|14.6|0.40
Quentin Halys|1345|638|47.4|10.35|30.6|31|10|32.3|23.8|0.70
Jeffrey John Wolf|877|425|48.5|9.64|24.4|13|7|53.8|14.3|0.36
Daniel Elahi Galan Riveros|1745|868|49.7|9.43|24.9|21|13|61.9|11.4|0.30
Richard Gasquet|23163|12319|53.2|9.60|24.4|399|217|54.4|16.5|0.42
Mikael Ymer|2968|1482|49.9|9.48|24.9|34|10|29.4|10.9|0.29
Laslo Djere|5070|2486|49.0|9.94|25.2|111|45|40.5|21.8|0.55
Thiago Monteiro|4251|2071|48.7|9.86|25.6|84|40|47.6|19.5|0.51
Bernabe Zapata Miralles|1109|517|46.6|9.56|24.6|13|4|30.8|11.2|0.29
Ilya Ivashka|3841|1960|51.0|9.77|25.8|69|37|53.6|17.6|0.46
Roberto Carballes Baena|4087|1970|48.2|9.46|24.0|65|33|50.8|15.0|0.38
Federico Coria|1972|921|46.7|9.39|24.0|21|12|57.1|10.0|0.26
Oscar Otte|1564|780|49.9|9.71|26.1|33|15|45.5|20.5|0.55
Kamil Majchrzak|1631|786|48.2|9.48|25.1|28|12|42.9|16.3|0.43
Christopher Oconnell|1103|524|47.5|10.21|30.6|31|17|54.8|28.7|0.86
Tomas Martin Etcheverry|497|211|42.5|9.56|24.9|7|3|42.9|13.5|0.35
Dusan Lajovic|9474|4613|48.7|9.76|25.0|152|63|41.4|15.7|0.40
Jiri Lehecka|684|313|45.8|9.77|26.3|9|4|44.4|12.9|0.35
Joao Sousa|11638|5652|48.6|9.56|25.0|179|83|46.4|14.7|0.38
Soon Woo Kwon|2726|1340|49.2|9.67|26.5|50|25|50.0|17.7|0.49
Jordan Thompson|5165|2497|48.3|9.69|26.2|89|39|43.8|16.7|0.45
Christian Garin|4997|2494|49.9|9.65|26.3|83|40|48.2|16.0|0.44
Ugo Humbert|3900|1944|49.8|9.92|26.9|88|44|50.0|22.4|0.61
Marton Fucsovics|6489|3314|51.1|9.64|26.5|118|50|42.4|17.5|0.48
Roman Safiullin|644|332|51.6|10.06|26.8|18|6|33.3|28.1|0.75
