name|Opponent Rank|Opponent Elo Rating|Upsets scored|Upsets scored %|Upsets against|Upsets against %|Upsets|Upsets %|Point Time (seconds)|Game Time (minutes)|Set Time (minutes)|Match Time
Carlos Alcaraz Garfia|31|1970|28|24.8|13|11.5|41|36.3|45.7|4.96|47.9|2.03
Rafael Nadal|27|2020|61|4.8|166|13.0|227|17.7|45.7|4.82|45.0|1.9
Casper Ruud|43|1924|35|14.3|39|15.9|74|30.2|43.2|4.52|43.4|1.75
Stefanos Tsitsipas|29|1993|35|9.8|73|20.5|108|30.3|42.9|4.47|44.3|1.9
Novak Djokovic|24|2039|66|5.4|149|12.1|215|17.4|42.4|4.53|42.7|1.85
Felix Auger Aliassime|38|1950|32|12.6|55|21.7|87|34.4|45.6|4.83|47.5|1.95
Daniil Medvedev|33|1983|47|12.4|64|16.9|111|29.4|40.9|4.32|41.2|1.75
Andrey Rublev|37|1957|64|17.9|59|16.5|123|34.5|38.7|4.14|40.1|1.67
Taylor Harry Fritz|43|1929|61|19.8|64|20.8|125|40.6|39.0|4.15|40.8|1.77
Hubert Hurkacz|39|1947|35|16.0|49|22.4|84|38.4|40.7|4.33|43.2|1.85
Holger Vitus Nodskov Rune|43|1914|27|32.9|11|13.4|38|46.3|43.8|4.60|45.4|1.78
Alexander Zverev|32|1985|51|10.6|81|16.9|132|27.5|39.2|4.13|40.0|1.77
Pablo Carreno Busta|43|1932|60|12.6|103|21.7|163|34.3|39.5|4.22|40.7|1.72
Cameron Norrie|44|1923|50|19.4|47|18.2|97|37.6|42.4|4.53|43.5|1.82
Jannik Sinner|39|1950|26|14.8|22|12.5|48|27.3|44.2|4.79|46.5|1.9
Matteo Berrettini|39|1952|28|13.1|36|16.8|64|29.9|42.5|4.45|44.2|1.97
Marin Cilic|37|1966|82|9.1|168|18.6|250|27.6|40.4|4.30|42.0|1.83
Denis Shapovalov|38|1956|35|11.9|79|26.8|114|38.6|42.0|4.43|44.2|1.92
Frances Tiafoe|41|1941|59|21.9|55|20.4|114|42.4|40.4|4.32|42.7|1.92
Karen Khachanov|37|1958|51|14.0|74|20.4|125|34.4|41.4|4.43|43.7|1.92
Roberto Bautista Agut|41|1952|51|8.6|124|20.9|175|29.6|39.7|4.25|40.9|1.75
Nick Kyrgios|30|1988|77|24.6|38|12.1|115|36.7|35.0|3.60|36.3|1.6
Lorenzo Musetti|40|1926|35|33.7|14|13.5|49|47.1|44.9|4.76|45.8|1.85
Alex De Minaur|38|1944|39|15.9|54|22.0|93|37.8|43.0|4.66|44.8|1.9
Diego Sebastian Schwartzman|40|1943|45|10.7|99|23.5|144|34.1|42.1|4.58|43.1|1.85
Borna Coric|33|1968|72|21.5|55|16.4|127|37.9|41.0|4.33|42.3|1.8
Daniel Evans|39|1941|59|22.9|54|20.9|113|43.8|45.1|4.86|46.9|2.08
Grigor Dimitrov|35|1975|96|15.4|125|20.1|221|35.5|39.3|4.17|41.0|1.75
Miomir Kecmanovic|45|1917|35|20.3|28|16.3|63|36.6|41.2|4.44|43.1|1.75
Francisco Cerundolo|42|1913|19|32.8|8|13.8|27|46.6|43.1|4.77|45.7|1.87
Alejandro Davidovich Fokina|38|1937|26|20.0|20|15.4|46|35.4|42.9|4.70|45.3|1.97
Tommy Paul|43|1930|38|23.6|24|14.9|62|38.5|41.8|4.48|43.8|1.83
Sebastian Korda|38|1944|34|32.1|14|13.2|48|45.3|43.0|4.65|44.9|1.88
Maxime Cressy|42|1927|19|28.4|11|16.4|30|44.8|43.3|4.49|45.9|1.97
Botic Van De Zandschulp|42|1922|19|21.6|15|17.0|34|38.6|43.1|4.67|45.4|1.92
Yoshihito Nishioka|42|1935|65|31.9|21|10.3|86|42.2|40.8|4.38|41.2|1.75
Alexander Bublik|47|1920|33|16.9|36|18.5|69|35.4|37.7|4.00|39.4|1.63
Reilly Opelka|46|1929|33|19.2|38|22.1|71|41.3|40.1|4.11|42.9|1.82
Albert Ramos|47|1919|96|17.2|127|22.7|223|39.9|42.9|4.63|44.8|1.87
Emil Ruusuvuori|55|1884|33|25.8|20|15.6|53|41.4|43.7|4.72|44.7|1.83
John Isner|41|1949|83|10.7|171|22.0|254|32.7|37.7|3.89|41.3|1.83
Jack Draper|29|1977|14|41.2|1|2.9|15|44.1|44.3|4.78|46.6|1.68
Sebastian Baez|47|1901|8|14.8|15|27.8|23|42.6|44.0|4.84|45.2|1.82
Arthur Rinderknech|45|1898|28|36.8|10|13.2|38|50.0|44.6|4.63|45.5|1.93
Lorenzo Sonego|46|1911|32|17.1|38|20.3|70|37.4|45.6|4.86|48.0|2.02
Adrian Mannarino|48|1919|83|15.7|126|23.8|209|39.4|39.1|4.16|39.8|1.67
Brandon Nakashima|53|1900|23|27.7|6|7.2|29|34.9|44.9|4.71|47.1|1.88
Jenson Brooksby|41|1932|23|32.4|11|15.5|34|47.9|46.5|4.97|46.0|1.88
Andy Murray|28|2013|103|10.9|109|11.5|212|22.4|42.2|4.54|43.0|1.9
Alex Molcan|51|1898|14|25.5|11|20.0|25|45.5|41.7|4.55|43.6|1.8
