name|Total Points Played|Total Points Won|Total Points Won %|Tot. 2nd Srv. In-pl. Pts. W. %|Total Break Points Won %|Rtn. to Svc. Points Ratio|Points per Game|Points per Set|Points per Match|Winner %|Unforced Error %|Forced Error %|Winners / UEs Ratio|Winner Against %|UE Against %|FE Against %|Wnrs. / FEs Against Ratio|Net Points %|Net Points Won %|Points Won at Net %|Net Effectiveness
Carlos Alcaraz Garfia|14897|7773|52.2|53.2|50.1|1.06|6.52|62.9|160.2|31.4|26.3|45.8|1.31|27.9|27.2|41.4|0.76|11.4|68.5|14.9|1.31
Rafael Nadal|187348|102102|54.5|55.7|52.7|1.06|6.34|59.2|151.0|28.5|18.8|47.3|1.60|33.9|20.9|50.6|0.56|8.4|68.9|11.3|1.34
Casper Ruud|32878|16943|51.5|51.9|50.0|0.99|6.28|60.3|146.1|33.0|17.8|40.4|1.88|41.7|21.7|45.3|0.73|9.4|67.7|12.6|1.34
Stefanos Tsitsipas|54852|28524|52.0|51.6|50.4|1.01|6.25|61.9|159.5|33.1|18.6|44.9|1.91|36.4|22.5|44.4|0.75|13.1|69.4|17.5|1.34
Novak Djokovic|187160|101967|54.5|55.3|52.1|1.05|6.41|60.3|158.2|31.4|15.7|46.7|2.48|37.6|17.4|51.2|0.61|11.0|71.3|14.2|1.29
Felix Auger Aliassime|37972|19461|51.3|50.3|49.7|1.02|6.36|62.6|154.4|39.3|23.9|49.6|1.83|26.5|17.9|42.9|0.92|13.1|70.4|17.5|1.34
Daniil Medvedev|56155|29499|52.5|53.7|51.1|1.04|6.34|60.4|154.3|31.5|24.0|41.3|1.43|34.7|27.9|40.7|0.77|10.7|62.1|12.7|1.19
Andrey Rublev|52707|27278|51.8|51.4|50.2|1.05|6.42|62.1|155.9|31.8|21.2|45.2|1.60|33.6|24.2|44.0|0.72|6.8|67.3|8.8|1.30
Taylor Harry Fritz|49496|24980|50.5|49.7|48.4|1.00|6.38|62.8|164.4|33.0|25.6|43.7|1.41|30.7|23.5|43.5|0.76|7.7|66.1|9.7|1.27
Hubert Hurkacz|34438|17484|50.8|49.5|50.3|1.00|6.39|63.8|164.8|38.6|23.8|44.7|1.73|31.6|21.6|39.9|0.97|12.5|65.5|15.8|1.27
Holger Vitus Nodskov Rune|10463|5315|50.8|52.8|50.7|1.04|6.31|62.3|147.4|33.2|21.8|49.3|1.63|28.9|20.6|46.2|0.72|10.5|70.3|14.3|1.36
Alexander Zverev|76178|39489|51.8|51.7|49.9|1.04|6.32|61.2|162.4|35.4|22.8|51.2|1.65|26.1|20.2|44.4|0.80|12.5|64.3|15.6|1.25
Pablo Carreno Busta|73191|37086|50.7|51.3|50.8|1.01|6.41|61.7|157.7|33.2|23.0|40.9|1.56|36.1|23.7|43.1|0.77|11.4|69.8|15.3|1.35
Cameron Norrie|37978|19229|50.6|50.6|52.0|1.01|6.41|61.6|154.4|25.6|25.1|37.3|1.10|37.7|32.7|41.7|0.61|11.1|66.2|14.1|1.28
Jannik Sinner|24840|12838|51.7|51.8|52.7|1.02|6.50|63.2|155.3|30.7|27.3|46.3|1.22|26.5|24.9|44.4|0.69|10.0|64.8|12.4|1.24
Matteo Berrettini|34844|17964|51.6|48.7|50.5|1.04|6.28|62.3|167.5|37.6|26.6|48.0|1.47|25.4|24.5|37.9|0.99|12.2|66.7|16.0|1.31
Marin Cilic|142286|73624|51.7|51.5|49.6|1.04|6.39|62.3|164.5|39.0|31.0|44.4|1.34|24.6|20.8|40.2|0.97|8.7|74.8|12.6|1.45
Denis Shapovalov|47670|24207|50.8|51.8|51.3|1.01|6.33|63.1|164.9|36.1|27.0|50.3|1.39|22.8|17.1|46.8|0.77|12.6|67.7|16.7|1.33
Frances Tiafoe|43699|21683|49.6|50.2|50.2|0.99|6.42|63.5|171.4|33.4|21.0|43.7|1.58|35.4|21.8|44.8|0.75|14.7|64.6|19.1|1.30
Karen Khachanov|58441|29671|50.8|50.5|51.4|1.02|6.42|63.2|167.9|28.0|25.3|40.5|1.13|34.2|26.9|45.1|0.62|8.9|65.1|11.5|1.29
Roberto Bautista Agut|92807|48130|51.9|52.9|50.7|1.03|6.43|61.8|159.2|28.5|21.3|35.8|1.46|42.8|30.2|41.3|0.69|10.0|68.7|13.1|1.32
Nick Kyrgios|48714|24925|51.2|50.4|51.5|1.00|6.18|62.3|165.7|41.6|23.1|40.1|2.04|36.9|20.4|38.0|1.09|13.4|64.7|16.4|1.22
Lorenzo Musetti|14496|7284|50.2|50.3|50.1|1.00|6.35|61.2|149.4|28.3|23.2|45.0|1.24|31.8|25.8|45.9|0.62|8.5|64.7|10.9|1.28
Alex De Minaur|37654|19131|50.8|51.8|51.0|1.01|6.50|62.5|160.2|24.1|23.9|44.7|1.05|31.4|30.4|45.5|0.53|10.9|66.0|14.2|1.29
Diego Sebastian Schwartzman|64609|32869|50.9|52.7|49.9|1.02|6.53|61.5|159.5|25.2|28.0|40.9|0.89|31.1|33.7|41.1|0.61|8.6|67.9|11.7|1.37
Borna Coric|51789|26100|50.4|50.9|50.1|1.01|6.34|61.9|159.4|35.3|28.3|40.7|1.28|31.0|23.1|41.5|0.85|12.2|62.3|15.1|1.23
Daniel Evans|39473|19818|50.2|50.5|51.9|1.00|6.47|62.5|167.3|28.6|19.6|43.1|1.49|37.3|27.8|43.7|0.65|14.1|65.8|18.4|1.30
Grigor Dimitrov|97982|50294|51.3|50.8|49.6|1.01|6.37|62.6|161.2|30.0|27.7|44.3|1.16|28.0|25.9|44.1|0.68|9.5|74.3|13.6|1.44
Miomir Kecmanovic|25307|12712|50.2|51.7|51.5|1.00|6.47|62.8|154.3|25.3|18.0|34.7|1.40|47.3|29.7|45.0|0.56|8.5|61.4|10.5|1.23
Francisco Cerundolo|8149|4093|50.2|51.6|52.2|1.04|6.65|63.7|156.7|27.0|25.4|53.2|1.02|21.4|18.0|55.0|0.49|7.9|71.7|11.5|1.46
Alejandro Davidovich Fokina|19889|9873|49.6|50.1|48.5|1.00|6.58|63.3|165.7|25.7|26.2|50.6|0.96|23.2|22.3|52.0|0.49|8.2|63.2|10.4|1.27
Tommy Paul|23922|11975|50.1|50.3|49.2|1.01|6.43|62.8|158.4|27.2|23.4|52.6|1.24|24.0|22.5|50.3|0.54|13.8|67.5|18.0|1.30
Sebastian Korda|15942|8126|51.0|50.7|51.9|0.99|6.50|62.8|157.8|34.0|28.5|44.8|1.25|26.8|23.0|43.0|0.79|11.1|66.3|14.4|1.30
Maxime Cressy|10032|5050|50.3|52.9|51.9|1.00|6.21|63.5|164.5|42.5|20.6|47.3|2.09|32.1|14.2|43.3|0.98|28.0|62.5|34.8|1.24
Botic Van De Zandschulp|12708|6390|50.3|49.6|51.4|1.02|6.51|63.2|160.9|32.0|27.0|48.3|1.18|24.7|20.9|47.1|0.68|10.9|65.7|14.4|1.32
Yoshihito Nishioka|30873|15127|49.0|52.2|49.5|0.99|6.44|60.5|155.1|27.3|20.3|36.8|1.34|42.9|38.0|34.7|0.79|10.8|63.6|13.7|1.27
Alexander Bublik|29240|14426|49.3|48.1|50.3|0.98|6.38|62.7|156.4|43.3|30.2|45.0|1.37|24.8|14.7|42.0|1.03|13.2|56.5|15.2|1.16
Reilly Opelka|27619|13756|49.8|48.6|49.6|0.97|6.14|64.2|164.4|44.0|26.3|47.1|1.68|26.6|16.0|40.0|1.10|10.4|64.9|13.5|1.30
Albert Ramos|87249|43270|49.6|50.5|50.8|1.00|6.48|62.7|157.8|24.4|22.7|41.0|1.02|36.3|35.3|40.3|0.61|6.4|72.8|9.6|1.50
Emil Ruusuvuori|17987|9133|50.8|51.2|48.5|1.04|6.48|61.4|151.2|24.5|31.5|41.1|0.80|27.3|31.3|44.2|0.55|8.4|64.3|10.6|1.26
John Isner|132163|66928|50.6|47.1|48.8|1.00|6.20|65.8|176.0|46.8|23.4|41.8|1.97|34.8|13.9|39.3|1.19|13.6|65.8|18.0|1.33
Jack Draper|3979|2029|51.0|51.2|52.3|1.00|6.48|63.2|137.2|33.4|24.0|40.5|1.50|35.5|28.9|37.6|0.89|9.9|69.3|13.3|1.34
Sebastian Baez|7041|3503|49.8|50.9|49.5|1.03|6.61|61.8|149.8|25.7|23.0|48.0|0.96|29.0|23.4|50.9|0.51|9.7|60.1|12.6|1.30
Arthur Rinderknech|11014|5486|49.8|46.7|52.3|0.98|6.22|61.2|157.3|33.0|20.2|51.4|1.66|28.4|17.6|49.3|0.67|13.2|66.9|17.5|1.33
Lorenzo Sonego|28098|14107|50.2|47.4|50.1|0.99|6.40|63.3|160.6|27.5|17.2|55.1|1.52|27.7|18.9|53.7|0.51|10.1|63.7|13.2|1.31
Adrian Mannarino|81020|40079|49.5|50.0|50.4|1.00|6.38|61.1|154.3|27.9|27.8|40.4|1.01|31.9|33.6|38.5|0.72|10.5|61.9|12.9|1.23
Brandon Nakashima|10645|5435|51.1|50.7|50.5|1.02|6.30|63.0|152.1|33.5|21.4|45.5|1.62|33.0|20.6|45.8|0.73|10.6|66.4|13.9|1.31
Jenson Brooksby|9265|4684|50.6|49.4|49.4|0.98|6.43|59.4|147.1|24.8|19.5|47.5|1.29|33.0|27.1|48.2|0.51|8.7|66.5|11.4|1.32
Andy Murray|148000|78390|53.0|53.2|50.9|1.04|6.46|61.1|162.1|28.0|24.0|36.9|1.16|39.1|29.8|42.2|0.66|10.4|63.0|13.1|1.26
Alex Molcan|7841|3944|50.3|52.4|49.9|1.01|6.55|62.7|156.8|27.9|26.3|39.8|0.99|33.8|30.3|41.9|0.67|8.2|67.0|11.3|1.39
Corentin Moutet|15745|7637|48.5|49.2|48.4|1.00|6.47|63.7|171.1|29.7|19.9|49.8|1.51|30.3|26.9|43.3|0.69|14.6|65.2|18.9|1.30
