name|1st Srv. Return Won %|2nd Srv. Return Won %|Return Rating|Return Points Won %|Rtn. In-play Pts. Won %|Points per Return Game|Pts. Won per Rtn. Game|Break Points Won %|BPs per Return Game|BPs per Set|BPs per Match|Return Games Won %|Rtn. Gms. Won per Set|Rtn. Gms. Won per Match
Carlos Alcaraz Garfia|34.1|53.2|160|41.3|41.0|6.69|2.76|41.9|0.74|3.59|9.1|31.0|1.50|3.8
Rafael Nadal|34.2|55.2|168|42.3|43.6|6.57|2.78|44.9|0.74|3.45|8.8|33.3|1.55|3.9
Casper Ruud|28.8|50.7|143|37.1|37.6|6.33|2.35|40.4|0.58|2.75|6.7|23.4|1.11|2.7
Stefanos Tsitsipas|28.7|49.1|138|36.1|36.3|6.37|2.30|39.8|0.53|2.57|6.6|20.9|1.02|2.6
Novak Djokovic|33.8|55.2|165|42.2|42.9|6.66|2.81|44.4|0.72|3.36|8.8|32.1|1.49|3.9
Felix Auger Aliassime|30.0|48.0|136|36.6|36.4|6.48|2.37|37.6|0.55|2.66|6.6|20.5|1.00|2.5
Daniil Medvedev|30.6|53.6|153|39.3|39.3|6.44|2.53|42.5|0.62|2.97|7.6|26.4|1.26|3.2
Andrey Rublev|30.1|53.0|148|39.0|40.2|6.57|2.56|40.5|0.62|2.99|7.5|24.9|1.21|3.0
Taylor Harry Fritz|26.7|49.6|132|35.5|36.0|6.40|2.27|36.2|0.53|2.60|6.8|19.3|0.94|2.5
Hubert Hurkacz|27.3|48.4|131|35.3|35.4|6.44|2.28|37.1|0.50|2.49|6.4|18.6|0.92|2.4
Holger Vitus Nodskov Rune|29.2|51.9|146|37.5|37.5|6.37|2.39|42.5|0.53|2.66|6.3|22.7|1.13|2.7
Alexander Zverev|30.8|51.0|149|38.5|38.5|6.44|2.48|42.1|0.60|2.93|7.8|25.4|1.23|3.3
Pablo Carreno Busta|28.8|52.1|146|38.0|39.0|6.44|2.45|41.2|0.59|2.85|7.3|24.4|1.17|3.0
Cameron Norrie|30.5|51.0|149|38.3|39.3|6.42|2.46|42.6|0.58|2.79|7.0|24.7|1.19|3.0
Jannik Sinner|32.1|51.9|154|39.7|40.0|6.56|2.60|43.8|0.60|2.93|7.2|26.4|1.28|3.2
Matteo Berrettini|28.3|46.3|129|35.0|34.7|6.39|2.24|36.4|0.49|2.46|6.6|18.0|0.89|2.4
Marin Cilic|30.0|50.2|141|37.7|38.3|6.55|2.47|38.4|0.59|2.84|7.5|22.5|1.09|2.9
Denis Shapovalov|28.2|48.0|133|35.6|34.8|6.36|2.27|37.6|0.51|2.54|6.7|19.2|0.96|2.5
Frances Tiafoe|26.5|49.6|133|35.3|37.1|6.36|2.25|38.3|0.49|2.45|6.6|18.9|0.94|2.5
Karen Khachanov|28.3|49.9|139|36.6|37.0|6.51|2.38|39.9|0.52|2.54|6.8|20.7|1.02|2.7
Roberto Bautista Agut|30.5|53.5|152|39.6|41.1|6.59|2.61|41.6|0.64|3.04|7.8|26.6|1.26|3.3
Nick Kyrgios|24.3|47.2|127|33.0|34.3|6.18|2.04|39.0|0.42|2.13|5.7|16.4|0.83|2.2
Lorenzo Musetti|30.4|50.7|146|38.0|37.8|6.33|2.40|41.8|0.57|2.73|6.7|23.6|1.14|2.8
Alex De Minaur|30.5|51.4|147|38.6|39.1|6.53|2.52|41.4|0.58|2.81|7.2|24.2|1.16|3.0
Diego Sebastian Schwartzman|33.5|54.9|164|42.0|42.8|6.57|2.76|43.9|0.73|3.45|9.0|32.0|1.52|3.9
Borna Coric|27.1|49.9|136|36.0|37.0|6.35|2.28|38.7|0.52|2.56|6.6|20.2|0.99|2.6
Daniel Evans|29.7|50.3|145|37.5|38.6|6.43|2.41|41.4|0.56|2.71|7.3|23.1|1.12|3.0
Grigor Dimitrov|29.6|49.3|139|37.1|37.5|6.45|2.40|38.6|0.57|2.77|7.1|21.9|1.07|2.8
Miomir Kecmanovic|28.3|51.3|142|37.1|38.1|6.48|2.41|40.0|0.56|2.70|6.6|22.2|1.08|2.7
Francisco Cerundolo|33.9|51.1|153|40.4|40.5|6.71|2.71|41.0|0.66|3.18|7.8|27.0|1.30|3.2
Alejandro Davidovich Fokina|32.4|51.1|151|39.6|40.2|6.55|2.60|40.4|0.67|3.22|8.4|26.9|1.30|3.4
Tommy Paul|29.4|50.2|142|37.4|37.4|6.46|2.41|39.3|0.58|2.85|7.2|22.9|1.12|2.8
Sebastian Korda|31.6|51.0|150|38.9|38.7|6.52|2.53|41.6|0.62|2.98|7.5|25.9|1.24|3.1
Maxime Cressy|24.9|43.4|121|31.6|31.6|6.23|1.97|39.1|0.36|1.83|4.7|14.0|0.72|1.9
Botic Van De Zandschulp|30.7|49.4|143|37.6|37.6|6.55|2.46|39.4|0.58|2.85|7.3|23.0|1.12|2.9
Yoshihito Nishioka|27.5|53.2|144|37.6|39.5|6.36|2.39|39.6|0.59|2.80|7.2|23.3|1.11|2.8
Alexander Bublik|28.8|45.6|131|35.1|35.0|6.30|2.21|37.5|0.50|2.45|6.1|18.7|0.92|2.3
Reilly Opelka|20.7|42.4|105|28.4|28.4|6.08|1.73|31.4|0.32|1.69|4.3|10.2|0.53|1.4
Albert Ramos|29.7|50.1|143|37.6|38.0|6.47|2.43|40.5|0.57|2.76|6.9|23.1|1.12|2.8
Emil Ruusuvuori|31.5|52.2|149|39.7|39.7|6.64|2.63|40.3|0.63|2.95|7.3|25.3|1.19|2.9
John Isner|22.3|41.8|105|29.6|29.7|6.22|1.84|30.3|0.34|1.78|4.8|10.2|0.54|1.4
Jack Draper|29.1|51.4|140|37.0|38.4|6.45|2.39|37.1|0.60|2.95|6.4|22.4|1.10|2.4
Sebastian Baez|33.3|50.4|150|39.4|39.4|6.67|2.63|39.9|0.66|3.10|7.5|26.3|1.24|3.0
Arthur Rinderknech|26.1|45.8|127|33.4|33.9|6.16|2.05|37.9|0.44|2.17|5.6|16.7|0.82|2.1
Lorenzo Sonego|28.5|46.0|130|35.1|34.1|6.39|2.24|37.2|0.49|2.39|6.1|18.1|0.89|2.3
Adrian Mannarino|28.4|49.8|141|36.8|37.8|6.35|2.33|40.9|0.53|2.55|6.5|21.8|1.05|2.6
Brandon Nakashima|26.3|49.6|135|35.3|36.5|6.36|2.25|40.9|0.44|2.18|5.3|17.9|0.89|2.2
Jenson Brooksby|31.5|50.1|149|39.0|39.4|6.42|2.50|41.6|0.63|2.88|7.1|26.1|1.20|3.0
Andy Murray|33.0|54.8|162|41.5|41.9|6.62|2.75|43.2|0.71|3.35|8.9|30.7|1.45|3.8
Alex Molcan|31.1|52.1|146|38.8|39.7|6.60|2.56|39.0|0.62|2.98|7.4|24.3|1.16|2.9
Corentin Moutet|30.4|49.7|142|37.6|37.7|6.41|2.41|39.3|0.58|2.88|7.7|22.8|1.13|3.0
Gael Monfils|31.9|49.4|147|38.6|38.1|6.48|2.50|41.1|0.61|2.95|7.7|25.1|1.21|3.2
David Goffin|31.3|52.6|152|39.7|40.6|6.54|2.60|41.2|0.66|3.17|8.1|27.3|1.31|3.4
Filip Krajinovic|28.7|51.3|145|37.7|39.5|6.41|2.42|41.2|0.58|2.77|6.9|23.7|1.14|2.8
Fabio Fognini|31.6|50.8|152|39.2|39.4|6.40|2.51|42.6|0.63|3.00|7.8|26.8|1.28|3.3
Marc Andrea Huesler|24.5|47.3|129|33.5|33.4|6.19|2.07|40.9|0.40|2.02|5.0|16.3|0.83|2.0
Jaume Munar|31.7|50.2|141|38.6|37.9|6.75|2.60|36.2|0.63|3.09|7.7|23.0|1.12|2.8
Aslan Karatsev|30.4|49.7|141|37.7|38.4|6.49|2.45|37.2|0.62|2.99|7.8|23.1|1.11|2.9
Benjamin Bonzi|27.4|50.3|137|35.9|36.8|6.42|2.30|39.5|0.51|2.49|6.2|20.2|0.98|2.5
Marcos Giron|26.9|48.1|132|34.9|35.3|6.25|2.18|38.8|0.48|2.39|6.2|18.5|0.93|2.4
Pedro Martinez Portero|31.0|51.1|147|38.7|39.9|6.47|2.51|39.8|0.63|3.02|7.6|25.0|1.20|3.0
Mackenzie Mcdonald|28.1|50.2|139|36.5|37.2|6.36|2.32|40.1|0.52|2.50|6.7|20.7|1.00|2.7
Quentin Halys|26.5|47.2|125|34.2|33.9|6.44|2.20|35.2|0.45|2.36|6.8|15.9|0.83|2.4
