name|Serve Max Speed|1st Serve Average Speed|2nd Serve Average Speed|Serve Average Speed|1st / 2nd Srv. Spd. Ratio|Srv. Max / Avg. Spd. Ratio
Carlos Alcaraz Garfia|223|186|156|178|1.19|1.25
Rafael Nadal|230|186|159|179|1.17|1.28
Casper Ruud|219|191|158|182|1.21|1.20
Stefanos Tsitsipas|222|197|157|186|1.25|1.19
Novak Djokovic|210|188|146|177|1.29|1.19
Felix Auger Aliassime|222|200|166|191|1.20|1.16
Daniil Medvedev|216|194|152|182|1.28|1.19
Andrey Rublev|222|188|141|174|1.33|1.28
Taylor Harry Fritz|227|196|155|184|1.26|1.23
Hubert Hurkacz|233|200|158|188|1.27|1.24
Holger Vitus Nodskov Rune|218|191|161|183|1.19|1.19
Alexander Zverev|236|203|155|190|1.31|1.24
Pablo Carreno Busta|210|179|144|169|1.24|1.24
Cameron Norrie|205|176|140|166|1.26|1.23
Jannik Sinner|221|191|152|179|1.26|1.23
Matteo Berrettini|229|204|168|194|1.21|1.18
Marin Cilic|222|193|152|180|1.27|1.23
Denis Shapovalov|222|201|159|188|1.26|1.18
Frances Tiafoe|228|195|150|182|1.30|1.25
Karen Khachanov|213|189|159|180|1.19|1.18
Roberto Bautista Agut|201|170|145|163|1.17|1.23
Nick Kyrgios|229|204|169|195|1.21|1.17
Lorenzo Musetti|214|186|148|176|1.26|1.22
Alex De Minaur|214|184|149|174|1.23|1.23
Diego Sebastian Schwartzman|197|165|138|157|1.20|1.25
Borna Coric|217|194|156|183|1.24|1.19
Daniel Evans|210|184|156|176|1.18|1.19
Grigor Dimitrov|225|195|149|182|1.31|1.24
Miomir Kecmanovic|212|187|150|176|1.25|1.20
Francisco Cerundolo|203|169|145|162|1.17|1.25
Alejandro Davidovich Fokina|252|183|155|176|1.18|1.43
Tommy Paul|229|186|151|176|1.23|1.30
Sebastian Korda|213|187|154|178|1.21|1.20
Maxime Cressy|228|204|195|201|1.05|1.13
Botic Van De Zandschulp|223|189|155|179|1.22|1.25
Yoshihito Nishioka|218|159|126|150|1.26|1.45
Alexander Bublik|230|204|167|193|1.22|1.19
Reilly Opelka|237|204|170|194|1.20|1.22
Albert Ramos|205|168|143|161|1.17|1.27
Emil Ruusuvuori|221|191|150|180|1.27|1.23
John Isner|233|197|180|192|1.09|1.21
Jack Draper|221|200|151|185|1.32|1.19
Sebastian Baez|209|173|145|166|1.19|1.26
Arthur Rinderknech|222|198|162|188|1.22|1.18
Lorenzo Sonego|220|196|156|185|1.26|1.19
Adrian Mannarino|227|180|145|170|1.24|1.34
Brandon Nakashima|215|188|154|178|1.22|1.21
Jenson Brooksby|194|175|141|166|1.24|1.17
Andy Murray|213|191|148|178|1.29|1.20
Alex Molcan|206|178|150|170|1.19|1.21
Corentin Moutet|205|171|135|162|1.27|1.27
Gael Monfils|230|186|159|178|1.17|1.29
David Goffin|209|180|145|169|1.24|1.24
