name|Sets Played|Sets Won|Sets Won %|Sets per Match|Matches Played|Matches Won|Matches Won %
Carlos Alcaraz Garfia|306|203|66.3|2.71|113|83|73.5
Rafael Nadal|3297|2553|77.4|2.57|1281|1065|83.1
Casper Ruud|617|368|59.6|2.51|246|158|64.2
Stefanos Tsitsipas|928|579|62.4|2.60|357|239|66.9
Novak Djokovic|3265|2495|76.4|2.65|1234|1030|83.5
Felix Auger Aliassime|636|367|57.7|2.50|254|154|60.6
Daniil Medvedev|969|641|66.2|2.56|378|263|69.6
Andrey Rublev|910|543|59.7|2.55|357|229|64.1
Taylor Harry Fritz|820|440|53.7|2.65|310|171|55.2
Hubert Hurkacz|572|316|55.2|2.61|219|124|56.6
Holger Vitus Nodskov Rune|208|117|56.3|2.45|85|49|57.6
Alexander Zverev|1275|819|64.2|2.66|480|331|69.0
Pablo Carreno Busta|1222|679|55.6|2.57|475|267|56.2
Cameron Norrie|662|369|55.7|2.56|259|151|58.3
Jannik Sinner|452|287|63.5|2.57|176|119|67.6
Matteo Berrettini|581|356|61.3|2.71|214|139|65.0
Marin Cilic|2423|1466|60.5|2.68|905|579|64.0
Denis Shapovalov|782|421|53.8|2.65|295|166|56.3
Frances Tiafoe|735|373|50.7|2.73|269|133|49.4
Karen Khachanov|985|540|54.8|2.69|366|207|56.6
Roberto Bautista Agut|1531|916|59.8|2.58|594|370|62.3
Nick Kyrgios|843|521|61.8|2.69|313|204|65.2
Lorenzo Musetti|262|138|52.7|2.52|104|56|53.8
Alex De Minaur|641|355|55.4|2.61|246|141|57.3
Diego Sebastian Schwartzman|1100|598|54.4|2.61|422|235|55.7
Borna Coric|874|458|52.4|2.61|335|181|54.0
Daniel Evans|707|352|49.8|2.74|258|127|49.2
Grigor Dimitrov|1613|922|57.2|2.59|623|371|59.6
Miomir Kecmanovic|436|220|50.5|2.51|174|90|51.7
Francisco Cerundolo|145|67|46.2|2.50|58|28|48.3
Alejandro Davidovich Fokina|352|175|49.7|2.71|130|64|49.2
Tommy Paul|422|215|50.9|2.57|164|87|53.0
Sebastian Korda|272|158|58.1|2.57|106|63|59.4
Maxime Cressy|180|89|49.4|2.69|67|33|49.3
Botic Van De Zandschulp|233|123|52.8|2.65|88|49|55.7
Yoshihito Nishioka|525|239|45.5|2.57|204|94|46.1
Alexander Bublik|492|243|49.4|2.52|195|100|51.3
Reilly Opelka|442|231|52.3|2.57|172|89|51.7
Albert Ramos|1419|667|47.0|2.53|561|265|47.2
Emil Ruusuvuori|321|159|49.5|2.51|128|65|50.8
John Isner|2101|1230|58.5|2.71|776|478|61.6
Jack Draper|79|47|59.5|2.32|34|19|55.9
Sebastian Baez|136|65|47.8|2.52|54|26|48.1
Arthur Rinderknech|199|96|48.2|2.62|76|39|51.3
Lorenzo Sonego|483|243|50.3|2.58|187|91|48.7
