Rank,Name,Age,Country,Win Rate,Titles,GS,Points
1,Carlos Alcaraz Garfia,19,Spain,73.5% (83/113),6 ,1 ,6820
2,Rafael Nadal,36,Spain,83.1% (1065/1281),92 ,22 ,6020
3,Casper Ruud,24,Norway,64.2% (158/246),9 ,0,5820
4,Stefanos Tsitsipas,24,Greece,66.9% (239/357),9 ,0,5550
5,Novak Djokovic,35,Serbia,83.5% (1030/1234),91 ,21 ,4820
6,Felix Auger Aliassime,22,Canada,60.6% (154/254),4 ,0,4195
7,Daniil Medvedev,26,Russian Federation,69.6% (263/378),15 ,1 ,4065
8,Andrey Rublev,25,Russian Federation,64.1% (229/357),12 ,0,3930
9,Taylor Harry Fritz,25,United States,55.2% (171/310),4 ,0,3355
10,Hubert Hurkacz,25,Poland,56.6% (124/219),5 ,0,2905
11,Holger Vitus Nodskov Rune,19,Denmark,57.6% (49/85),3 ,0,2888
12,Alexander Zverev,25,Germany,69.0% (331/480),19 ,0,2700
13,Pablo Carreno Busta,31,Spain,56.2% (267/475),7 ,0,2495
14,Cameron Norrie,27,United Kingdom,58.3% (151/259),4 ,0,2445
15,Jannik Sinner,21,Italy,67.6% (119/176),6 ,0,2410
16,Matteo Berrettini,26,Italy,65.0% (139/214),7 ,0,2375
17,Marin Cilic,34,Croatia,64.0% (579/905),20 ,1 ,2105
18,Denis Shapovalov,23,Canada,56.3% (166/295),1 ,0,2075
19,Frances Tiafoe,24,United States,49.4% (133/269),1 ,0,2000
20,Karen Khachanov,26,Russian Federation,56.6% (207/366),4 ,0,1990
21,Roberto Bautista Agut,34,Spain,62.3% (370/594),11 ,0,1940
22,Nick Kyrgios,27,Australia,65.2% (204/313),7 ,0,1870
23,Lorenzo Musetti,20,Italy,53.8% (56/104),2 ,0,1865
24,Alex De Minaur,23,Australia,57.3% (141/246),6 ,0,1790
25,Diego Sebastian Schwartzman,30,Argentina,55.7% (235/422),4 ,0,1700
26,Borna Coric,26,Croatia,54.0% (181/335),3 ,0,1685
27,Daniel Evans,32,United Kingdom,49.2% (127/258),1 ,0,1585
28,Grigor Dimitrov,31,Bulgaria,59.6% (371/623),8 ,0,1460
29,Miomir Kecmanovic,23,Serbia,51.7% (90/174),1 ,0,1420
30,Francisco Cerundolo,24,Argentina,48.3% (28/58),1 ,0,1395
31,Alejandro Davidovich Fokina,23,Spain,49.2% (64/130),0,0,1280
32,Tommy Paul,25,United States,53.0% (87/164),1 ,0,1210
33,Sebastian Korda,22,United States,59.4% (63/106),1 ,0,1175
34,Maxime Cressy,25,France,49.3% (33/67),1 ,0,1163
35,Botic Van De Zandschulp,27,Netherlands,55.7% (49/88),0,0,1160
